Designator,Mid X,Mid Y,Rotation,Layer
C1,274.559205,-96.066593,90.0,bottom
C2,275.749857,-96.066593,90.0,bottom
C3,273.963879,-94.578278,180.0,bottom
C4,80.0895,-32.39865,90.0,bottom
C5,84.70385,-30.6459,270.0,bottom
C6,275.749857,-104.996483,270.0,bottom
C7,274.559205,-105.774146,270.0,bottom
C8,266.109315,-97.257245,0.0,bottom
C9,266.109315,-96.066593,0.0,bottom
CR1,291.716978,-102.52676,0.0,bottom
CR2,290.823989,-97.764152,270.0,bottom
D1,73.87975,-29.6959,0.0,bottom
D10,185.724735,-30.948565,90.0,bottom
D11,204.774735,-30.948565,90.0,bottom
D12,223.824735,-30.948565,90.0,bottom
D13,242.874735,-30.948565,90.0,bottom
D14,261.924735,-30.948565,90.0,bottom
D15,286.0979,-30.9436,90.0,bottom
D16,300.024735,-30.948565,90.0,bottom
D17,38.087235,-49.998565,90.0,bottom
D18,61.899735,-49.998565,90.0,bottom
D19,80.949735,-49.998565,90.0,bottom
D2,33.324735,-30.948565,90.0,bottom
D20,99.999735,-49.998565,90.0,bottom
D21,119.049735,-49.998565,90.0,bottom
D22,138.099735,-49.998565,90.0,bottom
D23,157.149735,-49.998565,90.0,bottom
D24,176.199735,-49.998565,90.0,bottom
D25,195.249735,-49.998565,90.0,bottom
D26,214.299735,-49.998565,90.0,bottom
D27,233.349735,-49.998565,90.0,bottom
D28,252.399735,-49.998565,90.0,bottom
D29,271.449735,-49.998565,90.0,bottom
D3,52.374735,-30.948565,90.0,bottom
D30,295.262235,-49.998565,90.0,bottom
D31,40.489406,-68.890841,90.0,bottom
D32,66.662235,-69.048565,90.0,bottom
D33,85.712235,-69.048565,90.0,bottom
D34,104.762235,-69.048565,90.0,bottom
D35,123.812235,-69.048565,90.0,bottom
D36,142.862235,-69.048565,90.0,bottom
D37,161.912235,-69.048565,90.0,bottom
D38,180.962235,-69.048565,90.0,bottom
D39,200.012235,-69.048565,90.0,bottom
D4,67.2884,-30.9436,90.0,bottom
D40,219.062235,-69.048565,90.0,bottom
D41,238.112235,-69.048565,90.0,bottom
D42,257.162235,-69.048565,90.0,bottom
D43,272.058041,-68.460995,90.0,bottom
D44,288.131492,-68.920369,90.0,bottom
D45,40.481284,-88.106324,90.0,bottom
D46,52.982857,-88.098565,90.0,bottom
D47,76.200064,-88.098565,90.0,bottom
D48,95.25008,-88.098565,90.0,bottom
D49,114.300096,-88.098565,90.0,bottom
D5,90.49679,-30.856525,90.0,bottom
D50,133.350112,-88.098565,90.0,bottom
D51,152.400128,-88.098565,90.0,bottom
D52,171.450144,-88.106324,90.0,bottom
D53,190.50016,-88.106324,90.0,bottom
D54,209.550176,-88.098565,90.0,bottom
D55,228.600192,-88.098565,90.0,bottom
D56,247.650208,-88.098565,90.0,bottom
D57,273.84398,-88.106324,90.0,bottom
D58,300.037752,-88.106324,90.0,bottom
D59,64.293804,-95.25008,270.0,bottom
D6,109.524735,-30.948565,90.0,bottom
D60,88.106324,-95.25008,270.0,bottom
D61,159.543884,-95.25008,270.0,bottom
D62,230.981444,-95.25008,270.0,bottom
D63,254.793964,-95.25008,270.0,bottom
D7,128.574735,-30.948565,90.0,bottom
D8,147.624735,-30.948565,90.0,bottom
D9,166.674735,-30.948565,90.0,bottom
F1,77.931175,-31.315725,90.0,bottom
QR1,292.312304,-104.908064,90.0,bottom
R1,76.243912,-24.503728,180.0,bottom
R2,71.30735,-24.503728,0.0,bottom
RR1,289.633337,-97.764152,90.0,bottom
RR2,291.716978,-101.336108,0.0,bottom
RR3,293.205293,-101.846108,90.0,bottom
SWR1,286.359044,-101.931434,0.0,bottom
U1,82.396675,-31.670325,90.0,bottom
U2,270.694368,-100.900234,0.0,bottom
USB1,73.827662,-18.883457,180.0,bottom
