Designator,Mid X,Mid Y,Rotation,Layer
C1,282.291205,-103.675143,90.0,bottom
C2,283.481857,-103.675143,90.0,bottom
C3,281.695879,-102.186828,180.0,bottom
C4,92.870856,-29.170974,90.0,bottom
C5,98.824116,-30.179289,270.0,bottom
C6,283.481857,-112.605033,270.0,bottom
C7,282.291205,-113.382696,270.0,bottom
C8,273.841315,-104.865795,0.0,bottom
C9,273.841315,-103.675143,0.0,bottom
CR1,299.448978,-110.13531,0.0,bottom
CR2,298.555989,-105.372702,270.0,bottom
D1,81.857325,-41.67282,0.0,bottom
D10,193.456735,-38.557115,90.0,bottom
D11,212.506735,-38.557115,90.0,bottom
D12,231.556735,-38.557115,90.0,bottom
D13,250.606735,-38.557115,90.0,bottom
D14,269.656735,-38.557115,90.0,bottom
D15,288.706735,-38.557115,90.0,bottom
D16,307.756735,-38.557115,90.0,bottom
D17,45.819235,-57.607115,90.0,bottom
D18,69.631735,-57.607115,90.0,bottom
D19,88.681735,-57.607115,90.0,bottom
D2,41.056735,-38.557115,90.0,bottom
D20,107.731735,-57.607115,90.0,bottom
D21,126.781735,-57.607115,90.0,bottom
D22,145.831735,-57.607115,90.0,bottom
D23,164.881735,-57.607115,90.0,bottom
D24,183.931735,-57.607115,90.0,bottom
D25,202.981735,-57.607115,90.0,bottom
D26,222.031735,-57.607115,90.0,bottom
D27,241.081735,-57.607115,90.0,bottom
D28,260.131735,-57.607115,90.0,bottom
D29,279.181735,-57.607115,90.0,bottom
D3,60.106735,-38.557115,90.0,bottom
D30,302.994235,-57.607115,90.0,bottom
D31,48.200485,-67.132115,0.0,bottom
D32,74.394235,-76.657115,90.0,bottom
D33,93.444235,-76.657115,90.0,bottom
D34,112.494235,-76.657115,90.0,bottom
D35,131.544235,-76.657115,90.0,bottom
D36,150.594235,-76.657115,90.0,bottom
D37,169.644235,-76.657115,90.0,bottom
D38,188.694235,-76.657115,90.0,bottom
D39,207.744235,-76.657115,90.0,bottom
D4,67.569501,-41.970483,0.0,bottom
D40,226.794235,-76.657115,90.0,bottom
D41,245.844235,-76.657115,90.0,bottom
D42,264.894235,-76.657115,90.0,bottom
D43,295.850485,-76.657115,90.0,bottom
D44,52.962985,-95.707115,90.0,bottom
D45,83.919235,-95.707115,90.0,bottom
D46,102.969235,-95.707115,90.0,bottom
D47,122.019235,-95.707115,90.0,bottom
D48,141.069235,-95.707115,90.0,bottom
D49,160.119235,-95.707115,90.0,bottom
D5,98.22879,-43.161135,90.0,bottom
D50,179.169235,-95.707115,90.0,bottom
D51,198.219235,-95.707115,90.0,bottom
D52,217.269235,-95.707115,90.0,bottom
D53,236.319235,-95.707115,90.0,bottom
D54,255.369235,-95.707115,90.0,bottom
D55,281.562985,-95.707115,90.0,bottom
D56,307.756735,-95.707115,90.0,bottom
D57,72.012985,-102.850865,270.0,bottom
D58,95.825485,-102.850865,270.0,bottom
D59,167.262985,-102.850865,270.0,bottom
D6,117.256735,-38.557115,90.0,bottom
D60,238.700485,-102.850865,270.0,bottom
D61,262.512985,-102.850865,270.0,bottom
D7,136.306735,-38.557115,90.0,bottom
D8,155.356735,-38.557115,90.0,bottom
D9,174.406735,-38.557115,90.0,bottom
F1,89.596563,-29.170974,0.0,bottom
MX1,33.912985,-33.794615,0.0,bottom
MX10,205.362985,-33.794615,0.0,bottom
MX11,224.412985,-33.794615,0.0,bottom
MX12,243.462985,-33.794615,0.0,bottom
MX13,262.512985,-33.794615,0.0,bottom
MX14,281.562985,-33.794615,0.0,bottom
MX15,300.612985,-33.794615,0.0,bottom
MX16,38.675485,-52.844615,0.0,bottom
MX17,62.487985,-52.844615,0.0,bottom
MX18,81.537985,-52.844615,0.0,bottom
MX19,100.587985,-52.844615,0.0,bottom
MX2,52.962985,-33.794615,0.0,bottom
MX20,119.637985,-52.844615,0.0,bottom
MX21,138.687985,-52.844615,0.0,bottom
MX22,157.737985,-52.844615,0.0,bottom
MX23,176.787985,-52.844615,0.0,bottom
MX24,195.837985,-52.844615,0.0,bottom
MX25,214.887985,-52.844615,0.0,bottom
MX26,233.937985,-52.844615,0.0,bottom
MX27,252.987985,-52.844615,0.0,bottom
MX28,272.037985,-52.844615,0.0,bottom
MX29,295.850485,-52.844615,0.0,bottom
MX3,72.012985,-33.794615,180.0,bottom
MX30,41.056735,-71.894615,180.0,bottom
MX31,67.250485,-71.894615,0.0,bottom
MX32,86.300485,-71.894615,0.0,bottom
MX33,105.350485,-71.894615,0.0,bottom
MX34,124.400485,-71.894615,0.0,bottom
MX35,143.450485,-71.894615,0.0,bottom
MX36,162.500485,-71.894615,0.0,bottom
MX37,181.550485,-71.894615,0.0,bottom
MX38,200.600485,-71.894615,0.0,bottom
MX39,219.650485,-71.894615,0.0,bottom
MX4,91.062985,-33.794615,180.0,bottom
MX40,238.700485,-71.894615,0.0,bottom
MX41,257.750485,-71.894615,0.0,bottom
MX42,288.706735,-71.894615,0.0,bottom
MX43,45.819235,-90.944615,0.0,bottom
MX44,76.775485,-90.944615,0.0,bottom
MX45,95.825485,-90.944615,0.0,bottom
MX46,114.875485,-90.944615,0.0,bottom
MX47,133.925485,-90.944615,0.0,bottom
MX48,152.975485,-90.944615,0.0,bottom
MX49,172.025485,-90.944615,0.0,bottom
MX5,110.112985,-33.794615,0.0,bottom
MX50,191.075485,-90.944615,0.0,bottom
MX51,210.125485,-90.944615,0.0,bottom
MX52,229.175485,-90.944615,0.0,bottom
MX53,248.225485,-90.944615,0.0,bottom
MX54,274.419235,-90.944615,0.0,bottom
MX55,300.612985,-90.944615,0.0,bottom
MX56,62.487985,-109.994615,0.0,bottom
MX57,86.300485,-109.994615,0.0,bottom
MX58,157.737985,-109.994615,0.0,bottom
MX59,229.175485,-109.994615,0.0,bottom
MX6,129.162985,-33.794615,0.0,bottom
MX60,252.987985,-109.994615,0.0,bottom
MX61,167.262985,-109.994615,180.0,bottom
MX62,36.294235,-71.894615,0.0,bottom
MX7,148.212985,-33.794615,0.0,bottom
MX8,167.262985,-33.794615,0.0,bottom
MX9,186.312985,-33.794615,0.0,bottom
QR1,300.044304,-112.516614,90.0,bottom
R1,83.975912,-32.112278,180.0,bottom
R2,79.235912,-32.112278,0.0,bottom
RR1,297.365337,-105.372702,90.0,bottom
RR2,299.448978,-108.944658,0.0,bottom
RR3,300.937293,-109.454658,90.0,bottom
SWR1,294.091044,-109.539984,0.0,bottom
U1,95.802975,-29.7663,180.0,bottom
U2,278.426368,-108.508784,0.0,bottom
USB1,81.559662,-26.492007,180.0,bottom
